State,Quarter,Start Date,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated,Varroa Mites,Other Pests and Parasites,Diseases,Pesticides,Other Stressors,Unknown Stressors,CCD Losses,Avg_PM2.5,Avg_CO,Avg_NO2,Avg_Ozone,Avg_SO2
Alabama,January-March 2024,"January 1, 2024",9500,11000,1600,15,2400,860,8,24.0,18.8,6.3,1.9,2.9,4.5,,7.412800,0.195375,10.184647,0.031434,0.739226
Arizona,January-March 2024,"January 1, 2024",26000,30000,1900,6,3300,670,2,15.5,0.5,1.4,0.6,(Z),2.4,,7.392194,0.315837,14.665973,0.032083,0.371878
Arkansas,January-March 2024,"January 1, 2024",16000,21500,1700,8,3260,120,1,17.1,14.2,0.9,2.0,3.4,4.3,,7.337886,0.000000,2.862324,0.029375,0.490194
California,January-March 2024,"January 1, 2024",940000,1000000,210000,21,250000,135000,14,56.8,24.1,18.2,20.9,17.8,14.8,,5.887877,0.346661,8.858929,0.027605,0.253358
Colorado,January-March 2024,"January 1, 2024",5500,11000,370,3,500,,(X),5.4,4.3,(Z),(Z),1.8,1.0,,5.457696,0.323127,8.985703,0.036771,0.527463
Connecticut,January-March 2024,"January 1, 2024",3200,4000,100,3,500,,(X),7.8,0.9,,(Z),,0.6,,5.246634,0.222167,10.808417,0.032777,0.129794
Florida,January-March 2024,"January 1, 2024",310000,310000,24000,8,35000,10500,3,28.2,10.5,2.5,9.8,4.2,3.3,,7.229630,0.285812,9.370878,0.033126,0.826300
Georgia,January-March 2024,"January 1, 2024",120000,130000,28000,22,34000,2000,2,18.5,8.9,0.5,1.1,3.6,5.7,,9.423266,0.433553,15.060786,0.032305,0.866682
Idaho,January-March 2024,"January 1, 2024",195000,195000,23000,12,10200,760,(Z),27.4,5.4,6.0,,5.7,1.0,,8.108592,0.193888,10.198541,0.032051,0.885856
Illinois,January-March 2024,"January 1, 2024",10000,10500,2300,22,2500,300,3,34.6,13.9,2.4,4.6,2.5,11.5,,7.901801,0.211365,12.841435,0.030455,0.703490
Indiana,January-March 2024,"January 1, 2024",8000,11000,410,4,2510,,(X),53.3,3.2,,,3.3,(Z),,8.130875,0.301577,6.734862,0.026736,0.562229
Iowa,January-March 2024,"January 1, 2024",56000,59000,1900,3,2700,,(X),15.0,0.7,0.7,(Z),3.2,1.7,,7.320194,0.196227,5.347321,0.031607,0.381181
Kansas,January-March 2024,"January 1, 2024",2400,4500,270,6,1200,10,(Z),23.5,2.0,0.7,1.0,15.5,2.7,,7.730967,,3.785164,0.028103,0.307746
Kentucky,January-March 2024,"January 1, 2024",6500,16000,660,4,500,10,(Z),9.0,7.3,4.6,2.8,1.9,5.5,,6.805985,0.276058,8.053270,0.031534,0.975258
Louisiana,January-March 2024,"January 1, 2024",44000,44000,8500,19,5500,2300,5,11.0,2.8,3.1,3.5,5.5,4.7,,7.533219,0.291727,6.501370,0.030123,0.863918
Maine,January-March 2024,"January 1, 2024",1400,9000,370,4,550,140,2,21.1,0.9,,,(Z),,,4.509768,0.172200,4.708851,0.033930,0.055923
Maryland,January-March 2024,"January 1, 2024",5000,5000,660,13,1700,920,18,24.7,12.4,(Z),,7.1,,,5.492674,0.198419,10.581115,0.031797,0.168324
Massachusetts,January-March 2024,"January 1, 2024",4800,5600,650,12,500,640,11,3.7,0.8,(Z),,0.6,2.6,,4.982958,0.273733,8.111159,0.030396,0.292092
Michigan,January-March 2024,"January 1, 2024",69000,90000,3000,3,10000,,(X),4.3,0.6,0.5,1.1,1.0,1.4,,8.537053,0.409828,10.819570,0.031206,0.909261
Minnesota,January-March 2024,"January 1, 2024",25000,100000,830,1,10000,210,(Z),1.9,(Z),1.1,,2.0,0.5,,6.142204,0.281658,6.596892,0.033235,0.408661
Mississippi,January-March 2024,"January 1, 2024",28000,42000,3700,9,10500,1500,4,25.0,7.5,3.9,4.1,3.1,7.8,,7.621514,0.266266,4.578299,0.033329,0.392322
Missouri,January-March 2024,"January 1, 2024",9500,11500,1100,10,1000,40,(Z),15.0,2.1,0.6,0.5,7.5,3.5,,7.586846,0.259884,10.371144,0.033877,1.639176
Montana,January-March 2024,"January 1, 2024",36000,41000,50,(Z),6000,,(X),(Z),,,,,(Z),,5.179767,0.154377,2.517922,0.028474,1.185662
Nebraska,January-March 2024,"January 1, 2024",17500,19500,1200,6,5000,,(X),14.8,,,,(Z),0.8,,6.192559,0.220566,,0.031415,0.772836
New Jersey,January-March 2024,"January 1, 2024",12500,17000,1200,7,1500,320,2,20.7,3.2,,,1.7,4.1,,5.813710,0.355625,14.093843,0.027202,0.431950
New Mexico,January-March 2024,"January 1, 2024",4300,4300,1200,28,500,,(X),91.9,0.5,74.0,,0.7,(Z),,5.106556,0.213804,7.169213,0.031613,0.360007
New York,January-March 2024,"January 1, 2024",40000,40000,2300,6,1500,350,1,21.5,4.8,10.5,1.7,4.8,1.8,,6.053015,0.233779,12.393254,0.029094,0.835147
North Carolina,January-March 2024,"January 1, 2024",25000,27000,5500,20,5000,3100,11,29.2,1.2,(Z),,1.6,2.5,,7.028874,0.305442,8.052139,0.034687,0.108089
North Dakota,January-March 2024,"January 1, 2024",65000,78000,8500,11,9500,,(X),23.6,,,,7.1,3.5,,4.914441,0.177391,2.591262,0.029703,1.344934
Ohio,January-March 2024,"January 1, 2024",15000,26000,2100,8,2500,150,1,35.3,9.7,2.1,1.7,5.4,3.1,,7.916979,0.244131,9.770587,0.030913,0.487193
Oklahoma,January-March 2024,"January 1, 2024",17500,18000,2200,12,3000,320,2,34.0,18.8,3.3,1.1,1.0,0.9,,8.246894,0.387867,6.999180,0.033728,0.154751
Oregon,January-March 2024,"January 1, 2024",90000,101000,8000,8,12300,5500,5,24.3,1.5,22.6,22.3,,(Z),,5.603997,0.193330,8.183718,0.021751,0.111402
Pennsylvania,January-March 2024,"January 1, 2024",24000,26000,2800,11,2130,600,2,16.5,2.3,1.9,,3.2,5.7,,7.404209,0.346642,9.082319,0.027162,0.616266
South Carolina,January-March 2024,"January 1, 2024",14000,14000,870,6,2800,820,6,36.1,7.4,(Z),1.8,3.3,3.5,,8.001230,0.112721,6.796566,0.034103,0.108907
South Dakota,January-March 2024,"January 1, 2024",68000,78000,2000,3,5000,50,(Z),10.7,2.7,2.7,(Z),,(Z),,4.347449,0.143125,5.363331,0.027306,0.302606
Tennessee,January-March 2024,"January 1, 2024",11500,11500,1700,15,1300,170,1,13.6,5.4,(Z),0.7,2.1,10.4,,7.011663,0.278546,7.511709,0.034107,0.886255
Texas,January-March 2024,"January 1, 2024",205000,290000,28000,10,67000,46000,16,22.2,5.6,0.9,4.5,1.8,2.7,,8.271266,0.285599,7.516142,0.028774,1.240754
Utah,January-March 2024,"January 1, 2024",10000,17500,980,6,460,120,1,13.2,5.3,6.6,0.7,(Z),4.5,,4.951250,0.303480,8.056511,0.031775,0.455664
Vermont,January-March 2024,"January 1, 2024",7000,7500,230,3,730,20,(Z),6.8,1.2,(Z),0.8,4.0,1.7,,4.836593,0.195862,7.670889,0.031448,0.135541
Virginia,January-March 2024,"January 1, 2024",7000,10500,1200,11,640,200,2,21.0,7.5,1.4,1.1,4.4,3.1,,6.363833,0.230711,8.810641,0.031147,0.788650
