State,Start Date,Quarter,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated
Alabama,"January 1, 2023",January-March 2023,11000,15500,1400,9,2000,880,6
Arizona,"January 1, 2023",January-March 2023,34000,34000,510,2,290,80,(Z)
Arkansas,"January 1, 2023",January-March 2023,21000,23000,2200,10,1200,10,(Z)
California,"January 1, 2023",January-March 2023,1020000,1330000,196000,15,88000,48000,4
Colorado,"January 1, 2023",January-March 2023,10500,10500,520,5,520,,
Connecticut,"January 1, 2023",January-March 2023,3600,4000,360,9,560,70,2
Florida,"January 1, 2023",January-March 2023,270000,305000,34000,11,51000,18500,6
Georgia,"January 1, 2023",January-March 2023,121000,121000,13000,11,18500,8000,7
Idaho,"January 1, 2023",January-March 2023,165000,167000,12500,7,4000,8000,5
Illinois,"January 1, 2023",January-March 2023,9000,9500,1800,19,1800,320,3
Indiana,"January 1, 2023",January-March 2023,7000,10000,1300,13,300,40,(Z)
Iowa,"January 1, 2023",January-March 2023,50000,64000,1700,3,210,240,(Z)
Kansas,"January 1, 2023",January-March 2023,3300,3900,490,13,940,20,1
Kentucky,"January 1, 2023",January-March 2023,9500,10500,1100,10,260,80,1
Louisiana,"January 1, 2023",January-March 2023,29000,38000,4800,13,6000,3700,10
Maine,"January 1, 2023",January-March 2023,2600,7500,290,4,190,130,2
Maryland,"January 1, 2023",January-March 2023,6000,6000,1100,18,670,140,2
Massachusetts,"January 1, 2023",January-March 2023,6000,8000,820,10,200,80,1
Michigan,"January 1, 2023",January-March 2023,59000,64000,9000,14,330,2100,3
Minnesota,"January 1, 2023",January-March 2023,41000,57000,1100,2,30,1600,3
Mississippi,"January 1, 2023",January-March 2023,29000,37000,2300,6,65000,4100,11
Missouri,"January 1, 2023",January-March 2023,6500,9000,940,10,1400,100,1
Montana,"January 1, 2023",January-March 2023,23000,51000,70,(Z),,,
Nebraska,"January 1, 2023",January-March 2023,17000,23000,1100,5,,,
New Jersey,"January 1, 2023",January-March 2023,12500,14500,1300,9,530,110,1
New Mexico,"January 1, 2023",January-March 2023,8500,8500,4600,54,460,760,9
New York,"January 1, 2023",January-March 2023,40000,40000,8000,20,560,510,1
North Carolina,"January 1, 2023",January-March 2023,26000,30000,4100,14,2200,2800,9
North Dakota,"January 1, 2023",January-March 2023,82000,89000,2400,3,2700,1000,1
Ohio,"January 1, 2023",January-March 2023,17500,21000,2500,12,190,160,1
Oklahoma,"January 1, 2023",January-March 2023,16500,17000,1600,9,10,,
Oregon,"January 1, 2023",January-March 2023,77000,97000,8000,8,1500,500,1
Pennsylvania,"January 1, 2023",January-March 2023,27000,29000,4800,17,430,490,2
South Carolina,"January 1, 2023",January-March 2023,14500,16000,1700,11,2700,800,5
South Dakota,"January 1, 2023",January-March 2023,93000,93000,2200,2,,,
Tennessee,"January 1, 2023",January-March 2023,11000,12000,1800,15,2100,40,(Z)
Texas,"January 1, 2023",January-March 2023,171000,300000,20000,7,62000,8500,3
Utah,"January 1, 2023",January-March 2023,19000,24000,2600,11,900,360,2
Vermont,"January 1, 2023",January-March 2023,10000,10000,400,4,30,40,(Z)
Virginia,"January 1, 2023",January-March 2023,9500,10500,1200,11,470,150,1
Washington,"January 1, 2023",January-March 2023,65000,99000,13500,14,270,250,(Z)
West Virginia,"January 1, 2023",January-March 2023,5000,6000,600,10,40,40,1
Wisconsin,"January 1, 2023",January-March 2023,27000,29000,3300,11,1400,270,1
Wyoming,"January 1, 2023",January-March 2023,15000,17000,150,1,,,
Other States,"January 1, 2023",January-March 2023,5,28750,31050,730,2,2510,470
United States,"January 1, 2023",January-March 2023,2729750,(X),373880,14,324400,113440,4
Alabama,"April 1, 2023",April-June 2023,16000,16000,2100,13,4800,4200,26
Arizona,"April 1, 2023",April-June 2023,34000,34000,8500,25,4900,2400,7
Arkansas,"April 1, 2023",April-June 2023,22000,24000,11000,46,6500,2200,9
California,"April 1, 2023",April-June 2023,910000,940000,152000,16,139000,112000,12
Colorado,"April 1, 2023",April-June 2023,10000,33000,1100,3,4500,1500,5
Connecticut,"April 1, 2023",April-June 2023,4200,4200,230,5,690,800,19
Florida,"April 1, 2023",April-June 2023,250000,295000,50000,17,58000,23000,8
Georgia,"April 1, 2023",April-June 2023,129000,132000,31000,23,25000,45000,34
Idaho,"April 1, 2023",April-June 2023,82000,132000,7000,5,22000,11000,8
Illinois,"April 1, 2023",April-June 2023,9500,9500,530,6,3300,700,7
Indiana,"April 1, 2023",April-June 2023,9000,10500,320,3,4100,1500,14
Iowa,"April 1, 2023",April-June 2023,63000,69000,3400,5,11500,2700,4
Kansas,"April 1, 2023",April-June 2023,2500,3300,760,23,1600,360,11
Kentucky,"April 1, 2023",April-June 2023,9000,9500,550,6,1000,450,5
Louisiana,"April 1, 2023",April-June 2023,39000,44000,2700,6,4400,9000,20
Maine,"April 1, 2023",April-June 2023,7500,15500,1000,6,510,1100,7
Maryland,"April 1, 2023",April-June 2023,5500,5500,200,4,710,730,13
Massachusetts,"April 1, 2023",April-June 2023,7500,10500,1500,14,1300,510,5
Michigan,"April 1, 2023",April-June 2023,46000,85000,4200,5,9500,3700,4
Minnesota,"April 1, 2023",April-June 2023,56000,76000,2600,3,12500,1700,2
Mississippi,"April 1, 2023",April-June 2023,70000,72000,3500,5,12000,8000,11
Missouri,"April 1, 2023",April-June 2023,9500,10000,390,4,4600,910,9
Montana,"April 1, 2023",April-June 2023,51000,97000,4500,5,22000,18500,19
Nebraska,"April 1, 2023",April-June 2023,8000,28000,1200,4,10000,2300,8
New Jersey,"April 1, 2023",April-June 2023,14000,19500,720,4,1000,520,3
New Mexico,"April 1, 2023",April-June 2023,4300,4300,230,5,530,250,6
New York,"April 1, 2023",April-June 2023,31000,60000,1800,3,6500,2100,4
North Carolina,"April 1, 2023",April-June 2023,28000,28000,2300,8,9000,5500,20
North Dakota,"April 1, 2023",April-June 2023,62000,410000,23000,6,35000,4200,1
Ohio,"April 1, 2023",April-June 2023,18500,19500,1200,6,8000,5000,26
Oklahoma,"April 1, 2023",April-June 2023,10000,13000,320,2,6000,2900,22
Oregon,"April 1, 2023",April-June 2023,91000,95000,23000,24,29000,31000,33
Pennsylvania,"April 1, 2023",April-June 2023,25000,29000,1700,6,8000,2200,8
South Carolina,"April 1, 2023",April-June 2023,17000,17500,1200,7,2800,2600,15
South Dakota,"April 1, 2023",April-June 2023,13000,146000,2600,2,11500,26000,18
Tennessee,"April 1, 2023",April-June 2023,12500,13500,920,7,3900,2500,19
Texas,"April 1, 2023",April-June 2023,340000,360000,16500,5,85000,119000,33
Utah,"April 1, 2023",April-June 2023,15500,18500,3700,20,9500,2500,14
Vermont,"April 1, 2023",April-June 2023,9500,9500,160,2,990,210,2
Virginia,"April 1, 2023",April-June 2023,9000,10500,670,6,4000,1300,12
Washington,"April 1, 2023",April-June 2023,87000,123000,4400,4,18500,15500,13
West Virginia,"April 1, 2023",April-June 2023,5500,6500,350,5,1300,1000,15
Wisconsin,"April 1, 2023",April-June 2023,15500,54000,570,1,5500,1300,2
Wyoming,"April 1, 2023",April-June 2023,16500,19000,1400,7,5000,2200,12
Other States,"April 1, 2023",April-June 2023,5,31270,32700,1170,4,2920,3600
United States,"April 1, 2023",April-June 2023,2706270,(X),378190,14,618350,485640,18
Alabama,"July 1, 2023",July-September 2023,15000,15000,2400,16,1200,2700,18
Arizona,"July 1, 2023",July-September 2023,30000,30000,4600,15,3000,790,3
Arkansas,"July 1, 2023",July-September 2023,19500,34000,1000,3,3600,390,1
California,"July 1, 2023",July-September 2023,570000,600000,32000,5,21000,61000,10
Colorado,"July 1, 2023",July-September 2023,23000,26000,6500,25,170,2300,9
Connecticut,"July 1, 2023",July-September 2023,3700,4100,120,3,140,150,4
Florida,"July 1, 2023",July-September 2023,245000,290000,34000,12,44000,21000,7
Georgia,"July 1, 2023",July-September 2023,126000,133000,23000,17,17000,10500,8
Idaho,"July 1, 2023",July-September 2023,125000,154000,8000,5,1800,11000,7
Illinois,"July 1, 2023",July-September 2023,12000,12000,950,8,360,870,7
Indiana,"July 1, 2023",July-September 2023,14500,15500,440,3,150,1100,7
Iowa,"July 1, 2023",July-September 2023,71000,71000,1800,3,670,720,1
Kansas,"July 1, 2023",July-September 2023,3300,5500,400,7,150,80,1
