State,Quarter,Start Date,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated,Varroa Mites,Other Pests and Parasites,Diseases,Pesticides,Other Stressors,Unknown Stressors,CCD Losses
Alabama,January-March 2024,"January 1, 2024",9500,11000,1600,15,2400,860,8,24.0,18.8,6.3,1.9,2.9,4.5,
Arizona,January-March 2024,"January 1, 2024",26000,30000,1900,6,3300,670,2,15.5,0.5,1.4,0.6,(Z),2.4,
Arkansas,January-March 2024,"January 1, 2024",16000,21500,1700,8,3260,120,1,17.1,14.2,0.9,2.0,3.4,4.3,
California,January-March 2024,"January 1, 2024",940000,1000000,210000,21,250000,135000,14,56.8,24.1,18.2,20.9,17.8,14.8,
Colorado,January-March 2024,"January 1, 2024",5500,11000,370,3,500,,(X),5.4,4.3,(Z),(Z),1.8,1.0,
Connecticut,January-March 2024,"January 1, 2024",3200,4000,100,3,500,,(X),7.8,0.9,,(Z),,0.6,
Florida,January-March 2024,"January 1, 2024",310000,310000,24000,8,35000,10500,3,28.2,10.5,2.5,9.8,4.2,3.3,
Georgia,January-March 2024,"January 1, 2024",120000,130000,28000,22,34000,2000,2,18.5,8.9,0.5,1.1,3.6,5.7,
Idaho,January-March 2024,"January 1, 2024",195000,195000,23000,12,10200,760,(Z),27.4,5.4,6.0,,5.7,1.0,
Illinois,January-March 2024,"January 1, 2024",10000,10500,2300,22,2500,300,3,34.6,13.9,2.4,4.6,2.5,11.5,
Indiana,January-March 2024,"January 1, 2024",8000,11000,410,4,2510,,(X),53.3,3.2,,,3.3,(Z),
Iowa,January-March 2024,"January 1, 2024",56000,59000,1900,3,2700,,(X),15.0,0.7,0.7,(Z),3.2,1.7,
Kansas,January-March 2024,"January 1, 2024",2400,4500,270,6,1200,10,(Z),23.5,2.0,0.7,1.0,15.5,2.7,
Kentucky,January-March 2024,"January 1, 2024",6500,16000,660,4,500,10,(Z),9.0,7.3,4.6,2.8,1.9,5.5,
Louisiana,January-March 2024,"January 1, 2024",44000,44000,8500,19,5500,2300,5,11.0,2.8,3.1,3.5,5.5,4.7,
Maine,January-March 2024,"January 1, 2024",1400,9000,370,4,550,140,2,21.1,0.9,,,(Z),,
