State,Start Date,Quarter,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated
Alabama,"January 1, 2024",January-March 2024,9500,11000,1600,15,2400,860,8
Arizona,"January 1, 2024",January-March 2024,26000,30000,1900,6,3300,670,2
Arkansas,"January 1, 2024",January-March 2024,16000,21500,1700,8,3260,120,1
California,"January 1, 2024",January-March 2024,940000,1000000,210000,21,250000,135000,14
Colorado,"January 1, 2024",January-March 2024,5500,11000,370,3,500,,(X)
Connecticut,"January 1, 2024",January-March 2024,3200,4000,100,3,500,,(X)
Florida,"January 1, 2024",January-March 2024,310000,310000,24000,8,35000,10500,3
Georgia,"January 1, 2024",January-March 2024,120000,130000,28000,22,34000,2000,2
Idaho,"January 1, 2024",January-March 2024,195000,195000,23000,12,10200,760,(Z)
Illinois,"January 1, 2024",January-March 2024,10000,10500,2300,22,2500,300,3
Indiana,"January 1, 2024",January-March 2024,8000,11000,410,4,2510,,(X)
Iowa,"January 1, 2024",January-March 2024,56000,59000,1900,3,2700,,(X)
Kansas,"January 1, 2024",January-March 2024,2400,4500,270,6,1200,10,(Z)
Kentucky,"January 1, 2024",January-March 2024,6500,16000,660,4,500,10,(Z)
Louisiana,"January 1, 2024",January-March 2024,44000,44000,8500,19,5500,2300,5
Maine,"January 1, 2024",January-March 2024,1400,9000,370,4,550,140,2
Maryland,"January 1, 2024",January-March 2024,5000,5000,660,13,1700,920,18
Massachusetts,"January 1, 2024",January-March 2024,4800,5600,650,12,500,640,11
Michigan,"January 1, 2024",January-March 2024,69000,90000,3000,3,10000,,(X)
Minnesota,"January 1, 2024",January-March 2024,25000,100000,830,1,10000,210,(Z)
Mississippi,"January 1, 2024",January-March 2024,28000,42000,3700,9,10500,1500,4
Missouri,"January 1, 2024",January-March 2024,9500,11500,1100,10,1000,40,(Z)
Montana,"January 1, 2024",January-March 2024,36000,41000,50,(Z),6000,,(X)
Nebraska,"January 1, 2024",January-March 2024,17500,19500,1200,6,5000,,(X)
New Jersey,"January 1, 2024",January-March 2024,12500,17000,1200,7,1500,320,2
New Mexico,"January 1, 2024",January-March 2024,4300,4300,1200,28,500,,(X)
New York,"January 1, 2024",January-March 2024,40000,40000,2300,6,1500,350,1
North Carolina,"January 1, 2024",January-March 2024,25000,27000,5500,20,5000,3100,11
North Dakota,"January 1, 2024",January-March 2024,65000,78000,8500,11,9500,,(X)
Ohio,"January 1, 2024",January-March 2024,15000,26000,2100,8,2500,150,1
Oklahoma,"January 1, 2024",January-March 2024,17500,18000,2200,12,3000,320,2
Oregon,"January 1, 2024",January-March 2024,90000,101000,8000,8,12300,5500,5
Pennsylvania,"January 1, 2024",January-March 2024,24000,26000,2800,11,2130,600,2
South Carolina,"January 1, 2024",January-March 2024,14000,14000,870,6,2800,820,6
South Dakota,"January 1, 2024",January-March 2024,68000,78000,2000,3,5000,50,(Z)
Tennessee,"January 1, 2024",January-March 2024,11500,11500,1700,15,1300,170,1
Texas,"January 1, 2024",January-March 2024,205000,290000,28000,10,67000,46000,16
Utah,"January 1, 2024",January-March 2024,10000,17500,980,6,460,120,1
Vermont,"January 1, 2024",January-March 2024,7000,7500,230,3,730,20,(Z)
Virginia,"January 1, 2024",January-March 2024,7000,10500,1200,11,640,200,2
Washington,"January 1, 2024",January-March 2024,50000,114000,6500,6,1100,570,1
West Virginia,"January 1, 2024",January-March 2024,5000,6500,640,10,700,10,(Z)
Wisconsin,"January 1, 2024",January-March 2024,31000,57000,1600,3,420,120,(Z)
Wyoming,"January 1, 2024",January-March 2024,1900,13000,490,4,,10,(Z)
Other States,"January 1, 2024",January-March 2024,5,17350,26150,1030,4,2650,660
United States,"January 1, 2024",January-March 2024,2669350,(X),395310,15,520050,215070,8
Alabama,"April 1, 2024",April-June 2024,12000,13500,1400,10,3500,2700,20
Arizona,"April 1, 2024",April-June 2024,30000,36000,13500,38,18500,7000,19
Arkansas,"April 1, 2024",April-June 2024,20000,28000,2800,10,5500,430,2
California,"April 1, 2024",April-June 2024,920000,960000,58000,6,164000,113000,12
Colorado,"April 1, 2024",April-June 2024,10500,18500,290,2,1100,450,2
Connecticut,"April 1, 2024",April-June 2024,4100,4100,140,3,960,770,19
Florida,"April 1, 2024",April-June 2024,305000,310000,37000,12,57000,12500,4
Georgia,"April 1, 2024",April-June 2024,132000,145000,13000,9,17000,10500,7
