State,Quarter,Varroa Mites,Other Pests and Parasites,Diseases,Pesticides,Other,Unknown
Alabama,January-March 2023,31.9,18.3,0.7,1.5,9.9,8.3
Arizona,January-March 2023,72.9,,,(Z),(Z),0.5
Arkansas,January-March 2023,62.2,51.4,5.3,24.7,2.0,5.9
California,January-March 2023,48.7,18.2,11.3,14.1,23.0,16.7
Colorado,January-March 2023,1.8,,,(Z),0.9,1.4
Connecticut,January-March 2023,7.0,1.7,0.6,0.1,3.3,5.9
Florida,January-March 2023,28.1,11.1,3.5,5.6,4.2,8.5
Georgia,January-March 2023,31.2,1.3,(Z),7.7,1.7,7.4
Idaho,January-March 2023,12.1,2.8,(Z),5.3,1.2,6.0
Illinois,January-March 2023,21.5,9.0,0.6,0.9,10.5,10.0
Indiana,January-March 2023,24.8,4.5,(Z),,6.0,2.3
Iowa,January-March 2023,26.9,1.0,1.3,2.2,1.4,3.2
Kansas,January-March 2023,20.9,2.7,0.8,5.4,8.9,2.7
Kentucky,January-March 2023,10.9,5.9,(Z),1.7,3.2,9.4
Louisiana,January-March 2023,48.2,10.0,2.4,2.0,2.9,6.0
Maine,January-March 2023,16.8,,,1.5,0.8,2.5
Maryland,January-March 2023,16.4,4.7,2.5,,7.3,3.9
Massachusetts,January-March 2023,9.6,2.7,1.5,,5.2,1.8
Michigan,January-March 2023,6.5,0.6,0.5,1.2,1.1,1.7
Minnesota,January-March 2023,9.2,(Z),0.8,(Z),1.3,1.4
Mississippi,January-March 2023,19.6,9.6,1.1,7.5,15.4,2.7
Missouri,January-March 2023,12.7,4.3,,,3.6,9.5
Montana,January-March 2023,0.6,,,(Z),,(Z)
Nebraska,January-March 2023,20.2,(Z),(Z),,4.3,(Z)
New Jersey,January-March 2023,20.0,6.7,(Z),,1.7,3.8
New Mexico,January-March 2023,84.2,(Z),64.8,1.0,0.9,1.4
New York,January-March 2023,33.5,10.3,22.6,1.4,3.9,4.9
North Carolina,January-March 2023,22.5,6.1,(Z),(Z),4.5,2.5
North Dakota,January-March 2023,32.0,,,(Z),0.6,
Ohio,January-March 2023,37.8,10.6,,11.5,20.1,4.3
Oklahoma,January-March 2023,4.7,1.1,,(Z),2.8,(Z)
Oregon,January-March 2023,28.7,13.1,6.0,(Z),11.4,2.0
Pennsylvania,January-March 2023,20.9,4.6,2.5,0.7,2.0,7.7
South Carolina,January-March 2023,32.2,7.3,,(Z),10.4,7.4
South Dakota,January-March 2023,2.7,,(Z),(Z),1.8,1.0
Tennessee,January-March 2023,39.8,5.5,0.9,1.0,7.0,4.9
Texas,January-March 2023,11.3,6.7,(Z),7.6,9.7,1.1
Utah,January-March 2023,32.4,19.4,19.0,19.0,2.8,2.0
Vermont,January-March 2023,3.1,(Z),(Z),(Z),,1.6
Virginia,January-March 2023,22.6,10.5,(Z),(Z),4.2,4.8
Washington,January-March 2023,12.1,2.4,2.3,2.5,6.4,4.5
West Virginia,January-March 2023,14.5,2.8,1.0,1.1,2.0,3.4
Wisconsin,January-March 2023,15.0,0.9,0.8,0.5,2.7,7.2
Wyoming,January-March 2023,10.4,,,,1.4,(Z)
Other States,January-March 2023,21.3,17.7,13.2,,1.1,(Z)
United States,January-March 2023,39.9,13.4,7.3,9.9,14.7,11.1
Alabama,April-June 2023,37.1,10.5,2.2,1.0,4.5,9.2
Arizona,April-June 2023,15.4,,2.1,,0.7,(Z)
Arkansas,April-June 2023,22.4,13.1,2.8,7.4,1.9,3.1
California,April-June 2023,41.4,3.3,4.0,4.5,11.3,4.1
Colorado,April-June 2023,64.4,5.1,5.5,1.3,0.7,(Z)
Connecticut,April-June 2023,66.3,4.9,0.8,,2.7,0.7
Florida,April-June 2023,48.9,23.0,6.7,17.6,14.7,7.4
Georgia,April-June 2023,29.2,11.9,2.3,3.8,9.5,7.0
Idaho,April-June 2023,40.9,6.7,5.9,5.7,1.3,1.4
Illinois,April-June 2023,25.6,13.3,3.2,6.8,6.7,3.7
Indiana,April-June 2023,23.8,5.6,1.6,7.4,18.3,3.0
Iowa,April-June 2023,17.9,2.6,4.5,9.9,5.1,(Z)
Kansas,April-June 2023,38.1,2.2,0.1,24.0,3.0,3.0
Kentucky,April-June 2023,8.3,2.8,0.9,1.2,0.7,5.5
Louisiana,April-June 2023,32.0,3.6,(Z),17.5,24.7,0.8
Maine,April-June 2023,10.6,(Z),3.9,4.7,(Z),
Maryland,April-June 2023,18.8,0.9,0.6,(Z),0.8,(Z)
Massachusetts,April-June 2023,28.2,(Z),0.7,(Z),10.6,1.6
Michigan,April-June 2023,12.0,7.7,1.8,2.6,3.2,10.0
Minnesota,April-June 2023,13.0,2.1,(Z),10.1,1.1,7.7
Mississippi,April-June 2023,12.8,3.6,1.0,3.3,9.0,2.5
Missouri,April-June 2023,12.9,6.3,0.8,0.5,4.7,3.3
Montana,April-June 2023,23.7,(Z),2.1,2.9,6.5,(Z)
Nebraska,April-June 2023,27.4,4.8,0.6,0.5,0.6,3.7
New Jersey,April-June 2023,14.4,2.6,0.6,(Z),1.6,0.9
New Mexico,April-June 2023,4.0,0.6,1.3,0.7,1.1,(Z)
New York,April-June 2023,25.4,8.9,2.0,2.1,9.7,(Z)
North Carolina,April-June 2023,28.7,8.8,0.9,(Z),1.6,2.5
North Dakota,April-June 2023,64.6,6.7,2.7,6.7,1.4,(Z)
Ohio,April-June 2023,65.3,33.5,0.7,5.7,1.0,4.4
Oklahoma,April-June 2023,4.0,0.9,,,0.7,(Z)
Oregon,April-June 2023,27.9,9.3,3.5,14.3,4.3,(Z)
Pennsylvania,April-June 2023,13.8,7.2,2.7,6.9,1.1,1.1
South Carolina,April-June 2023,32.7,5.8,0.7,(Z),16.0,2.7
South Dakota,April-June 2023,13.6,7.2,(Z),6.0,1.3,0.9
Tennessee,April-June 2023,13.3,1.6,,(Z),2.8,1.8
Texas,April-June 2023,48.1,43.6,11.2,12.5,30.9,10.5
